,area_type,availability,location,size,society,total_sqft,bath,balcony,price
293,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,1,98.2
294,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,50
295,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2,3,75
296,Plot  Area,18-Jan,TC Palaya,3 Bedroom,Arzzo P,1475,3,1,98
297,Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,2,47
298,Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4,0,120
299,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Prave E,880,3,1,140
300,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3,2,104
301,Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2,1,29.5
302,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2,1,70
303,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3,0,100
304,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,105
305,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2,3,45
306,Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26
307,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3,2,95
308,Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4,3,65
309,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3,3,150
310,Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2,3,100
311,Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3,3,115
312,Super built-up  Area,18-Apr,Yelahanka,2 BHK,MaisePa,1350,2,1,55.55
313,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,67
314,Super built-up  Area,18-Apr,Malleshpalya,2 BHK,JRrnauv,1140,2,2,46.5
315,Plot  Area,Ready To Move,Srirampura,5 Bedroom,JRrnauv,1200,5,2,180
316,Super built-up  Area,18-Dec,Kodathi,2 BHK,JRrnauv,850,2,2,27
317,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2,2,75
318,Built-up  Area,Ready To Move,Munnekollal,2 BHK,Gotis A,1170,2,2,52
319,Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,51
320,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2,1,83.09
321,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65
322,Plot  Area,Ready To Move,Marathahalli,2 Bedroom,Prarkun,1200,2,2,128
323,Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,Prarkun,1200,4,3,165
324,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,415
325,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,PhestOn,2400,4,1,400
326,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56
327,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,NRowse ,1200,2,2,55
328,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2,2,52
329,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2,1,55
330,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,95
331,Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,Itala A,1000,2,1,67
332,Plot  Area,Ready To Move,Haralur Road,4 Bedroom,Itala A,2650,4,2,198
333,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2,2,74
334,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3,2,215
335,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,58
336,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2,2,45
337,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,230
338,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,Prtanha,1600,3,3,64
339,Plot  Area,18-Mar,T.C PALYA,2 Bedroom,Prtanha,1200,2,0,79
340,Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,Prtanha,1230,2,3,48
341,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2,2,40
342,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2,2,76
343,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,1,150
344,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,2,1,21.53
345,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,PrarePa,1200,2,2,65
346,Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,PrarePa,1350,2,0,140
347,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3,1,49.36
348,Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,0,150
349,Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3,2,74
350,Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,43.25
351,Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2,1,77
352,Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3,2,75
353,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2,3,57
354,Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1,1,28.35
355,Plot  Area,Ready To Move,RMV,3 Bedroom,SNbay G,2000,3,2,365
356,Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,SNbay G,1762,3,1,125
357,Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,SNbay G,950,2,2,50
358,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5,3,335
359,Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2,1,50
360,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2,2,89.04
361,Super built-up  Area,Ready To Move,MS Pallya,3 BHK,AriosHe,1200,3,0,90
362,Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,AriosHe,1500,4,2,230
363,Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,AriosHe,500,1,1,18.5
364,Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2,1,52
365,Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1,0,11.66
366,Built-up  Area,Ready To Move,Bellandur,2 BHK,Siissi ,1205,2,3,66
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2,2,60
368,Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2,2,39
369,Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2,1,60
370,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,212
371,Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2,2,55
372,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2,1,65
373,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3,2,275
374,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,46.8
375,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2,1,108
376,Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3,2,110
377,Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1,0,29.9
378,Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3,2,95
379,Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3,0,77
380,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,2,115
381,Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2,1,90
382,Plot  Area,19-Jan,Anekal,2 Bedroom,Neagar ,1200,1,1,36
383,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,44
384,Built-up  Area,Ready To Move,Kengeri,2 BHK,Dhalsh ,1000,2,1,25
385,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,40
386,Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,Wiowsri,1629,3,2,79
387,Built-up  Area,Ready To Move,Vijayanagar,3 BHK,Wiowsri,1580,2,0,134
388,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3,2,121
389,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2,1,94
390,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2,2,45.79
391,Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,1,33
392,Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3,3,108
393,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2,2,53
394,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2,1,58
395,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2,1,32
396,Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2,2,55
397,Super built-up  Area,Ready To Move,K N Extension,6 BHK,Tuentpa,700,3,1,120
398,Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2,1,120
399,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3,1,45
400,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3,2,161
401,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4,1,230
402,Plot  Area,Ready To Move,Battarahalli,2 Bedroom,Haestt ,1200,2,1,65
403,Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,Haestt ,1200,4,1,175
404,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,1,82
405,Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,BriumMi,1000,2,0,165
406,Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,BriumMi,1200,2,0,125
407,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,410
408,Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,PhestOn,12000,6,3,2200
409,Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,PhestOn,550,1,1,62
410,Super built-up  Area,Ready To Move,Kengeri,1 BHK,PhestOn,34.46Sq. Meter,1,0,18.5
411,Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2,1,38
412,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2,1,38
413,Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,VBvenal,1200,7,3,250
414,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,64.5
415,Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3,2,88
416,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2,2,62
417,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,Asity S,1350,3,2,150
418,Plot  Area,17-Dec,Anandapura,2 Bedroom,Asity S,1000,2,1,55
419,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,Asity S,1090,2,2,31.48
420,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Asity S,1200,2,0,60
421,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,103
422,Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2,1,26.5
423,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2,1,75
424,Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2,2,67
425,Plot  Area,Ready To Move,Chandapura,6 Bedroom,Dhgraas,1533,5,3,85
426,Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3,2,79
427,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2,2,55
428,Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,1,55
429,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3,2,140
430,Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2,0,69
431,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2,3,69
432,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Danna S,1240,2,2,47.12
433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2,2,48.1
434,Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,GrrvaGr,1200,8,1,250
435,Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4,1,240
436,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3,2,55
437,Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3,2,68.29
438,Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1,1,40
439,Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,Tavenew,1000,4,3,110
440,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Tavenew,11890,4,3,700
441,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2,1,76
442,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2,1,95
443,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Brnia G,1670,2,3,57
444,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,2,100
445,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,71
446,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2,2,95
447,Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1,1,34.65
448,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3,2,135
449,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,SosicCl,1650,3,2,78
450,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,1,55.47
451,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3,2,252
452,Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,74.03
453,Plot  Area,Ready To Move,Thippasandra,4 Bedroom,PualeSk,1200,4,2,200
454,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2,2,55
455,Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4,3,325
456,Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2,2,30.35
457,Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3,2,98
458,Super built-up  Area,18-Apr,Marathahalli,2 BHK,DSutyng,950,2,1,46.96
459,Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9,3,360
460,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3,0,120
461,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2,1,35.23
462,Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2,1,30
463,Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,RKntsrt,1020,2,2,63
464,Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,RKntsrt,1100,2,2,50
465,Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,2,126
466,Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2,2,130
467,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Mahosya,1800,3,3,110
468,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Mahosya,1070,2,1,54
469,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Mahosya,1500,4,2,220
470,Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,Mahosya,1440,2,0,95
471,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2,1,40
472,Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,Prowsi ,1200,4,1,230
473,Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2,1,42.16
474,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,165
475,Super built-up  Area,19-Jun,Kodigehalli,2 BHK,Proodt ,1270,2,1,98
476,Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2,1,62
477,Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,Sryamar,4800,4,1,235
478,Super built-up  Area,Ready To Move,NS Palya,2 BHK,Sryamar,1200,2,1,74
479,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,0,50.17
480,Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4,2,260
481,Plot  Area,Ready To Move,Basavangudi,4 Bedroom,LiaveEn,1125,4,3,180
482,Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,LiaveEn,500,3,2,65
483,Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5,2,190
484,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,Bemesrm,1464,3,2,56
485,Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,Bemesrm,3600,4,3,400
486,Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,Bemesrm,2000,4,2,99
487,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Bemesrm,1208,2,1,49
488,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2,2,60
489,Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3,2,120
490,Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7,3,337
491,Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,Brica E,600,3,2,58
492,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2,2,94.42
493,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3,3,52.5
494,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,63
495,Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2,1,53
496,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2,1,45
497,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Apows M,950,2,1,32
498,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,36
499,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2,1,48.5
500,Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,SVineun,720,2,1,45
501,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3,1,95
502,Built-up  Area,Ready To Move,Silk Board,3 BHK,Soiewre,1300,3,1,58
503,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,3,1,68.75
504,Built-up  Area,Ready To Move,Shampura,1 BHK,Caycend,375,2,0,26
505,Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Caycend,1062,2,3,38
506,Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,Caycend,1115,2,1,40
507,Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000,2,1,35
508,Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883,2,1,45
509,Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2,1,70
510,Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,Brareio,1200,3,1,165
511,Built-up  Area,Ready To Move,Medahalli,1 Bedroom,Brareio,700,1,0,41
512,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67
513,Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,Prlla C,660,4,2,90
514,Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,Prlla C,8500,4,2,145
515,Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,Prlla C,1600,4,1,80
516,Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,5,3,154
517,Super built-up  Area,Ready To Move,Begur Road,3 BHK,SNnia E,1584,3,1,65
518,Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,SNnia E,3000,5,1,275
519,Built-up  Area,Ready To Move,Hosur Road,3 BHK,SNnia E,1175,2,2,48
520,Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,SNnia E,1595,3,2,115
521,Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353,2,2,110
522,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,125
523,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2,1,70
524,Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230,6,1,465
525,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155,2,2,42.74
526,Built-up  Area,Ready To Move,Ittamadu,1 BHK,Jahidva,1200,2,0,85
527,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Jahidva,1000,2,1,25
528,Super built-up  Area,Ready To Move,Thanisandra,4 BHK,Jahidva,3000,4,1,120
529,Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867,3,1,160
530,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2,1,47
531,Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2,1,45.5
532,Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222,2,2,45
533,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,2,1,66
534,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4,1,245
535,Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,Kacesh ,1385,2,2,48.48
536,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,68
537,Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282,2,2,49
538,Super built-up  Area,Ready To Move,Mico Layout,9 BHK,Amsomun,5000,9,3,210
539,Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,Amsomun,3000,3,1,528
540,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135,2,1,39.73
541,Built-up  Area,20-Dec,Whitefield,3 BHK,Shdhia ,1768,3,2,101
542,Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,2,1,90
543,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,99
544,Plot  Area,18-Mar,Whitefield,3 Bedroom,Prarkun,1500,3,1,61.95
545,Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,Prarkun,2610,3,0,499
546,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Prarkun,1286,2,2,63
547,Built-up  Area,Ready To Move,Kammanahalli,5 BHK,Prarkun,2845,5,1,140
548,Super built-up  Area,Ready To Move,K G Colony,3 BHK,Aincy R,1600,2,1,50
549,Super built-up  Area,18-Sep,Hennur Road,2 BHK,Shxorm ,1195 - 1440,2,0,63.77
550,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5,2,260
551,Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,1102,2,2,53.67
552,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350,2,2,54
553,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Sahanra,1200,2,2,42
554,Plot  Area,Ready To Move,Hosa Road,6 Bedroom,Sahanra,1300,6,0,145
555,Plot  Area,Ready To Move,Herohalli,2 Bedroom,Sahanra,1800,1,1,80
556,Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,Sahanra,950,2,1,40
557,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,27.25
558,Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2,1,25
559,Plot  Area,Ready To Move,Marathahalli,4 Bedroom,Jae 2hu,1780,4,3,175
560,Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,2,1,80
561,Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1,1,33.32
562,Built-up  Area,Ready To Move,Ittamadu,2 BHK,Hiatei ,1080,2,2,50
563,Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3,1,160
564,Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,1126,2,1,28.15
565,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,84
566,Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,GaicaVe,2000,4,1,300
567,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PuineSu,1550,3,3,100
568,Super built-up  Area,Ready To Move,Ashwini layout,3 BHK,Grare S,1600,3,2,86
569,Built-up  Area,Ready To Move,Ashwini layout,2 BHK,Grare S,1160,2,1,55
570,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,4144,4,3,315
571,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100,3,2,125
572,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,69.3
573,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,LGestbo,2230,4,3,225
574,Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,LGestbo,1544,3,1,120
575,Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,58.7
576,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aahts H,1230,2,2,80
577,Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,Aahts H,1200,2,0,65
578,Super built-up  Area,Ready To Move,Harlur,3 BHK,Aahts H,1460,3,1,73
579,Plot  Area,Immediate Possession,Sarjapur  Road,2 BHK,Asiss B,1200 - 2400,2,1,34.185
580,Built-up  Area,Ready To Move,Gottigere,2 BHK,Asiss B,967,2,3,45
581,Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,Asiss B,540,1,1,36
582,Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715,1,2,46
583,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3,2,313
584,Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1578,3,1,180
585,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Puceswn,1020,2,1,48.95
586,Super built-up  Area,Ready To Move,Jigani,2 BHK,i1odsne,1020,2,1,40
587,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253,2,1,102
